# source: collecte collaborative, https://twitter.com/clouc85/status/1247451810622844928

Date,Heure / Time,Vélos depuis la mise en service / Grand total,Vélos ce jour / Today's total,"Si vous souhaitez, vous pouvez transmettre une image ou une vidéo ici","Une remarque, un commentaire ? L'espace ci-dessous vous est ouvert ! / Open comments below"
20/03/2020,15:18:00,7 851,185,,
20/03/2020,18:41:00,7 953,287,,
20/03/2020,19:04:00,7 966,300,,
21/03/2020,12:00:00,8 106,78,,
21/03/2020,20:04:00,8 258,230,,
22/03/2020,10:18:00,8 317,21,,
22/03/2020,15:34:00,8 380,84,,
22/03/2020,18:46:00,8 432,136,,
23/03/2020,08:14:00,8 517,45,,
23/03/2020,14:55:00,8 648,176,,
23/03/2020,15:49:00,8 664,192,,
23/03/2020,17:36:00,8 705,233,,
23/03/2020,19:42:00,8 778,306,,
24/03/2020,07:47:00,8 826,20,,
24/03/2020,09:11:00,8 864,58,,
24/03/2020,17:07:00,8 989,183,,
24/03/2020,18:15:00,9 018,212,,
24/03/2020,19:05:00,9 047,241,,
25/03/2020,08:27:00,9 136,38,,
25/03/2020,16:41:00,9 298,200,,
25/03/2020,18:17:00,9 344,246,,
25/03/2020,18:34:00,9 356,258,,
25/03/2020,18:52:00,9 362,264,,
25/03/2020,19:33:00,9 385,287,,
26/03/2020,07:59:00,9 432,16,,
26/03/2020,16:39:00,9 592,176,,
26/03/2020,19:08:00,9 687,271,,
26/03/2020,19:22:00,9 694,278,,
26/03/2020,20:01:00,9 713,297,,
26/03/2020,20:12:00,9 720,304,,
27/03/2020,08:43:00,9 795,44,,
27/03/2020,16:46:00,9 963,212,,
27/03/2020,17:06:00,9 977,226,,
27/03/2020,17:31:00,9 990,239,,
27/03/2020,17:35:00,9 992,241,,
27/03/2020,17:41:00,9 999,248,,
27/03/2020,17:57:00,10 008,257,,
27/03/2020,18:12:00,10 016,265,,
27/03/2020,19:36:00,10 075,324,,
28/03/2020,08:42:00,10 122,13,,
28/03/2020,13:43:00,10 218,109,,
28/03/2020,16:52:00,10 274,165,,
28/03/2020,19:12:00,10 325,216,,
28/03/2020,19:16:00,10 327,218,,
28/03/2020,19:50:00,10 340,231,,
29/03/2020,15:41:00,10 441,73,,
29/03/2020,20:12:00,10 515,147,,
30/03/2020,08:25:00,10 567,33,,
30/03/2020,13:47:00,10 665,131,,
30/03/2020,15:47:00,10 715,181,,
30/03/2020,18:18:00,10 797,263,,
31/03/2020,08:41:00,10 938,47,,
31/03/2020,10:34:00,10 970,79,,
31/03/2020,19:07:00,11 162,271,,
31/03/2020,19:24:00,11 173,282,,
01/04/2020,18:10:00,11 462,237,,
01/04/2020,19:04:00,11 494,269,,
02/04/2020,08:40:00,11599,44,https://drive.google.com/open?id=1cxDL-aK10Ql7n0b9fbpgJJp2-U5G8Uss,C'est top !
02/04/2020,12:34:00,11675,120,,merci vélocité !!!
02/04/2020,13:58:00,11700,145,,
02/04/2020,18:57:00,11855,300,,I love Totem & Slacky 
02/04/2020,19:14:00,11868,313,,Totem je t'aime
02/04/2020,14:50:00,11718,163,,
02/04/2020,16:00:00,11767,212,,
03/04/2020,09:44:00,12009,80,,totem je t'adore
03/04/2020,17:27:00,12178,249,,
03/04/2020,19:53:00,12292,363,,"totem je t'aime aussi le jeudi, quelque soit la lumière du jour. Ah on est vendredi? osef"
04/04/2020,14:26:00,12452,126,,
04/04/2020,19:37:00,12599,273,,totem dans mon coeur forever
04/04/2020,11:55:00,12404,78,,totem je t'aime aussi à midi
04/04/2020,18:51:00,12567,241,,
05/04/2020,12:59:00,12698,65,,Photo & formulaire #TotemLand
05/04/2020,17:29:00,12748,115,,"totem je t'aime, mais j'aime aussi slacky"
05/04/2020,10:53:00,12663,30,,j'aime aussi les asperges
05/04/2020,22:06:00,12836,203,,"Tu ne me dénonceras pas pour non respect du couvre feu, dis ? steuplé ?"
06/04/2020,06:28:00,12845,7,,
06/04/2020,11:27:00,12932,94,,
06/04/2020,17:58:00,13111,273,,Incertitude chiffre total
06/04/2020,19:10:00,13152,314,,Apéro-Totem 
06/04/2020,08:11:00,12866,28,,
07/04/2020,08:15:00,13256,30,,
06/04/2020,08:11:00,12866,28,,vive le totem. Contribution DF pour AC a permis de corriger un bug si deux personnes contribuent avec une donnée à la même date et même heure !
07/04/2020,12:46:00,13368,142,,"J'adore aller au totem, car on y croise des copains ! :)"
07/04/2020,18:19:00,13521,295,,
08/04/2020,08:18:00,13644,35,,comm. DF : totem mis à l'heure légale le 8/04/2020
08/04/2020,13:54:00,13780,171,,
08/04/2020,12:29:00,13743,134,,
08/04/2020,17:31:00,13858,249,,
08/04/2020,20:49:00,13990,381,,
08/04/2020,18:26:00,13897,288,,
09/04/2020,11:33:00,14098,98,,
09/04/2020,08:23:00,14038,38,,Rattrapage !!
09/04/2020,19:20:00,14345,345,,
07/04/2020,13:23:00,13379,153,,Dans un rayon de 1km autour du... totem
07/04/2020,11:57:00,13346,120,,pélerinage FL rempli par DF
09/04/2020,18:58:00,14327,327,,Saisie DF pour NLM :-)
09/04/2020,17:55:00,14275,275,,Saisie DF pour AC :-)
10/04/2020,18:07:00,14714,308,,saisie DF pour AC :-) 
11/04/2020,11:28:00,14886,60,,saisie DF pour PC :-)
11/04/2020,16:30:00,14984,158,,
11/04/2020,18:27:00,15047,221,,
11/04/2020,09:50:00,14854,28,,salut toi
11/04/2020,20:28:00,15101,275,,ça roule?
12/04/2020,12:42:00,15200,81,,
12/04/2020,12:28:00,15196,77,,
12/04/2020,10:11:00,15152,33,,et si on mangeait des chips?
12/04/2020,18:10:00,15286,167,,"pourquoi tu dis rien, tu fais la tronche ou quoi?"
13/04/2020,12:28:00,15425,67,,
13/04/2020,18:16:00,15497,139,,noel au tison pacques au torchon (?)
14/04/2020,07:39:00,15555,11,,
14/04/2020,10:27:00,15626,82,,
14/04/2020,11:16:00,15642,98,,stradzvouitié 
14/04/2020,19:58:00,15920,376,,
14/04/2020,19:53:00,15917,373,,ili priviet
15/04/2020,18:42:00,16271,313,,"saisie DF pour PC, notre sauveur du jour !"
15/04/2020,13:24:00,16117,159,,ola que tal
15/04/2020,19:25:00,16302,344,,
15/04/2020,20:07:00,16333,375,,
16/04/2020,08:26:00,16404,44,,
16/04/2020,14:21:00,16562,202,,kak diela
16/04/2020,20:57:00,16776,416,,otchien chorocho?
16/04/2020,11:32:00,16492,132,,Saisie DF pour PC :-) 
17/04/2020,09:41:00,16869,83,,
17/04/2020,09:35:00,16867,81,,saisie DF pour PC
17/04/2020,14:49:00,17002,216,,saisie DF pour PC
17/04/2020,19:04:00,17143,357,,saisie DF pour SL
17/04/2020,20:36:00,17205,419,,todo bem?
18/04/2020,12:50:00,17342,111,,
18/04/2020,09:17:00,17254,23,,
18/04/2020,11:22:00,17298,67,,j'ai peut être fait une erreur sur le point de ce matin : j'ai un doute si j ai mis le 17 ou le 18/04 (pour 9h22). Mienia zavout marie
18/04/2020,20:52:00,17555,324,,
18/04/2020,21:22:00,17563,332,,
19/04/2020,10:45:00,17593,24,,Longue vie au totem ! 
19/04/2020,11:10:00,17596,27,,qu ce dimanche crachineux degueu vous porte espoir
19/04/2020,20:13:00,17711,142,,
20/04/2020,12:24:00,17796,73,,
20/04/2020,16:21:00,17850,127,,"depuis le confinement, j'aime la pluie"
20/04/2020,18:27:00,17887,164,,dommage qu'il n'ait pas neigé
20/04/2020,16:41:00,17852,129,,
20/04/2020,19:28:00,17902,179,,saisie DF pour NLM :-)
21/04/2020,07:29:00,17938,6,,saisie YH pour PC
20/04/2020,14:41:00,17833,110,,
21/04/2020,12:43:00,17997,65,,
21/04/2020,20:30:00,18108,176,,
21/04/2020,18:30:00,18058,126,,saisie DF pour NLM (mais qui peut donc bien se cacher derrières ces lettres... O.D.I.L... LIDO ? Une danseuse ?)
22/04/2020,14:20:00,18229,113,,
22/04/2020,14:20:00,18229,113,,saisie YH pour SL
22/04/2020,15:19:00,18255,139,,
22/04/2020,18:29:00,18349,233,,
22/04/2020,13:48:00,18214,98,,
22/04/2020,20:56:00,18405,289,,
22/04/2020,21:24:00,18408,292,,
23/04/2020,08:30:00,18450,36,,génial ! Clémence télétravaille !
23/04/2020,11:41:00,18515,101,,
23/04/2020,11:42:00,18516,102,,test YH
23/04/2020,08:30:00,18450,36,,
23/04/2020,19:47:00,18840,426,,YH pour NLM (coucou Clémence !)
23/04/2020,19:47:00,18839,425,,saisie YH pour CL (coucou Nico !)
23/04/2020,11:41:00,18515,101,,
24/04/2020,12:58:00,19091,171,,
24/04/2020,14:04:00,19126,206,,photo miraculay ; j'adore ce que vous faites
24/04/2020,20:00:00,19373,453,,ia outchilass rouskii yazik v chkolou
24/04/2020,20:33:00,19390,470,,"Eh voilà, Monsieur le Président !"
25/04/2020,12:46:00,19531,113,,1er selfy totem !
25/04/2020,14:30:00,19579,161,,
25/04/2020,09:48:00,19455,37,,
25/04/2020,20:32:00,19781,363,,
25/04/2020,19:39:00,19744,326,,
25/04/2020,20:42:00,19786,368,,mais pourquoi tous ces trucs scotchés ?
25/04/2020,21:23:00,19801,383,,saisie YH pour PC
25/04/2020,12:49:00,19539,121,,"Charles a piqué les images de France 3, le tricheur !"
26/04/2020,13:07:00,19917,96,,saisie YH pour SL
26/04/2020,11:00:00,19871,50,,
26/04/2020,13:56:00,19942,121,,
26/04/2020,15:43:00,19984,163,,saisie YH pour SL
26/04/2020,21:06:00,20149,328,,
27/04/2020,12:54:00,20297,130,,t'es encore plus beau qu'à la télé !
27/04/2020,11:53:00,20278,111,,Mais qui sont donc ces contributeurs anonymes ? 
27/04/2020,18:57:00,20503,336,,saisie YH pour CL
27/04/2020,06:31:00,20175,8,,bravo Pierre !
28/04/2020,18:34:00,20926,344,,coucou ; c'est totem Rivoli qui vient saisir ; apparemment vous avez un coup de mou à Montpellier
28/04/2020,21:28:00,21021,439,,"J'ai connu un type de droite une fois, il était vachement sympa"
28/04/2020,10:48:00,20663,81,,"En fait les deux chiffres étaient bien visibles. On croyait que non, mais en fait si. Qui l'eût cru ?"
29/04/2020,11:17:00,21152,122,,
29/04/2020,20:09:00,21526,496,,rien à ajouter après une photo pareille...
30/04/2020,08:40:00,21647,56,,sortie à poney
30/04/2020,15:45:00,21846,255,,le plus long des chemins (vers le totaym) commence toujours par un seul tour de pédale
30/04/2020,16:13:00,21862,271,,"Toutes les courses par le Totem et par Flahault ! Un aller-retour, compté 4 fois, #JeSuisUnDesDeux qui double d'estime !"
30/04/2020,13:30:00,21776,185,,
30/04/2020,19:10:00,21987,396,,"t'inquiète pas Totem, on t'en remettra des p'tits coeurs"
30/04/2020,18:17:00,21947,356,,totem t'es tout nu !!!
30/04/2020,11:29:00,21717,126,,avant l'heure du crime...
01/05/2020,05:06:00,22088,1,,"après j'ai pris un petit dej à la patisserie bonnaire, c'était bonnard"
01/05/2020,06:42:00,22094,7,,"sinon, toi ça va? des nouvelles de Slacky Botbot?"
01/05/2020,07:40:00,22100,13,,"Quand je serai en âge de travailler, je serai totem. Ou pas"
30/04/2020,20:19:00,22040,449,,
01/05/2020,14:30:00,22246,159,,JSUDD !
02/05/2020,09:31:00,22546,39,,from Marie with love
02/05/2020,13:54:00,22708,201,,saisie inframaniaque pour véluminée
02/05/2020,21:54:00,23017,510,,"on était bien avec Albert, on s'est laissé avoir par la montre. Manquait que Slacky bobot et ses acolytes pour atteindre la perfection. Mais j'avais une autorisation de travail. Et sur celle-ci, il n'y a pas d'horaire. Voilà, bonne soirée"
03/05/2020,11:19:00,23113,82,,Fidèle au poste
03/05/2020,19:32:00,23382,351,,Live from the Creator
03/05/2020,16:18:00,23249,218,,N'avez-vous pas trop chaud mon cher Albert ?
04/05/2020,13:33:00,23672,229,,les2chiffresétaientpresquebienvisibles
04/05/2020,19:20:00,23928,485,,Tout ira bien à vélo ! 
04/05/2020,09:56:00,23570,127,,
05/05/2020,09:55:00,24151,133,,
05/05/2020,17:59:00,24492,474,,
05/05/2020,14:09:00,24294,276,,ça biche?
05/05/2020,07:27:00,24041,23,,
05/05/2020,13:48:00,24282,264,,
06/05/2020,08:26:00,24727,58,,coucou Clémence !
06/05/2020,11:28:00,24838,169,,"les haricots seraient hypers grands là. Mais bon, on s'en fout"
07/05/2020,18:16:00,25831,466,,
06/05/2020,19:52:00,25275,606,,et un de plus !
08/05/2020,09:24:00,26023,41,,Bonjour Totem !
08/05/2020,09:44:00,26033,51,,l'heure du pastis
08/05/2020,12:32:00,26100,118,,totem je t'aime toujours
08/05/2020,19:48:00,26396,414,,saisie VP pour prez mouah ah aha ah
08/05/2020,22:25:00,26470,488,,"Oui, je sais, l'heure blabla... :D"
09/05/2020,11:59:00,26640,166,,les miracles du totem...
09/05/2020,18:44:00,26860,386,,
10/05/2020,08:14:00,27009,30,,bonne journée amis totemistes
10/05/2020,10:12:00,27026,47,,
10/05/2020,15:20:00,27059,80,,
10/05/2020,18:58:00,27078,99,,
10/05/2020,20:03:00,27092,113,,"Nico, je te montrerai comment saisir tes données... ;-)"
11/05/2020,06:36:00,27130,9,,Tu as été mon premier rdv dans ce nouveau monde. Heureuse de t'avoir parmi nous !!!
11/05/2020,21:08:00,27574,453,,"Bon je vais faire un tour en vélo ! (petite progéniture): ""moi aussi !"" 2 + 2 + 2 = 6 comptes de plus !"
11/05/2020,20:04:00,27541,420,,quel flemmard ce prez :-D
11/05/2020,10:28:00,27230,109,,l'aurore était déjà passée depuis si longtemps...
11/05/2020,13:22:00,27284,163,,On me dit le plus grand bien de vos harengs pomme à l'huile
11/05/2020,20:57:00,27572,451,,total palindrome pour un totem-droguay syndrome
12/05/2020,11:07:00,27814,213,,Quoi ? Totem aurait pris 2h de retard ?
11/05/2020,19:25:00,27508,387,,Oh ! Je crois bien que j'ai vu un vélo jaune.
11/05/2020,10:55:00,27239,118,,"ça va, les rhumatismes, Albert ?"
11/05/2020,13:51:00,27290,169,,le sens du sacrifice...
12/05/2020,08:37:00,27697,96,,Pour le 100 000 on va te faire la fête. Bisous
12/05/2020,19:09:00,28489,888,,"c'est beau, tous ces 8 !"
12/05/2020,21:09:00,28620,1019,,<3 <3 <3 ToteM
12/05/2020,20:32:00,28601,1000,,1000 c'est pas rien
12/05/2020,20:00:00,28577,976,,Clap clap clap
12/05/2020,21:56:00,28645,1044,,ON A PÉTÉ LES MILLEUH !
13/05/2020,05:04:00,28708,9,,<3 Utrecht c'est une ville magnifique 🤩... Montpellier bientôt aussi !!!!
13/05/2020,05:25:00,28719,20,,🤓
13/05/2020,11:02:00,28901,202,,un des deux deux
13/05/2020,12:08:00,28958,259,,bananalove
13/05/2020,18:02:00,29299,600,,"Mais. Mais arrêtez un peu ; mais puisque je vous dis que LES DEUX chiffes étaient BIEN VISIBLES ! M'enfin c'est du harcèlement, là !"
13/05/2020,18:18:00,29321,622,,Je ne laisserai dire personne que les deux chiffres n'étaient pas bien visibles.
13/05/2020,19:20:00,29407,708,,mange ce soir
13/05/2020,20:02:00,29445,746,,la photo du mec chelou avec un bonnet
14/05/2020,09:14:00,29704,139,,Je voyais flou ce matin
13/05/2020,18:46:00,29361,662,,retour
13/05/2020,16:49:00,29215,516,,aller
14/05/2020,19:20:00,30357,792,,Clémence is not waterproof
14/05/2020,14:29:00,30000,435,,whats up Albert? y aura pas assez de place pour le million
14/05/2020,19:07:00,30341,776,,"je t'aime avec ou sans les chiffres, mon Toty"
14/05/2020,18:36:00,30321,756,,ciaoooo
15/05/2020,13:05:00,30763,345,,
15/05/2020,16:51:00,31014,596,,#NotAllSkates
15/05/2020,19:29:00,31332,914,,prem's !! na na nère-euh
15/05/2020,21:58:00,31482,1064,,é-mille
16/05/2020,10:30:00,31668,122,,enfin totem chéri ;-) 
16/05/2020,13:11:00,31854,308,,Saisie tardive by CL
16/05/2020,16:20:00,32048,502,,horloge suisse nico !
16/05/2020,23:46:00,32394,848,,saisie sous-chef pour chef
17/05/2020,06:31:00,32436,24,,Fièvre totem-aurorologique 
17/05/2020,13:30:00,32724,312,,😍😍😍
17/05/2020,17:35:00,33037,625,,
17/05/2020,21:18:00,33320,908,,"joyeux anniversaire, maître infra"
17/05/2020,22:01:00,33343,931,,mais on a loupé le 33 333
18/05/2020,11:54:00,33702,321,,"rentrer les données de Denis, c'est toujours un plaisir"
18/05/2020,12:44:00,33745,364,,
18/05/2020,06:31:00,33389,8,,quoi de plus beau pour débuter la journée qu'un trajet à vélo et une photo du totem ?
18/05/2020,17:58:00,34148,767,,"Trop de soleil ; pas de bol quand même ; vivement la pluie, hein ?"
18/05/2020,18:17:00,34185,804,,hop !
18/05/2020,20:13:00,34382,1001,,un hasard ? Je ne crois pas
18/05/2020,22:29:00,34471,1090,,Ca y est je viens de planter ma tente au pied du Totem ! Bonne nuit.
19/05/2020,04:58:00,34512,8,,featurin' aurorologue
19/05/2020,09:25:00,34742,238,,auro-bis
18/05/2020,19:48:00,34356,975,,prez par vice-prez
19/05/2020,04:54:00,34511,7,,
19/05/2020,12:50:00,34966,462,,Joli score en vue !
19/05/2020,19:46:00,35669,1165,,beeeeeeeeelle journée
19/05/2020,18:31:00,35525,1021,,36°C mais le fond de l'air était fred
19/05/2020,22:08:00,35807,1303,,5 vélos sont passés à côtés... on peut les rajouter lol!
,,,,,20/05/2020 00:22 35864 1360
20/05/2020,06:25:00,35891,11,,merci Guillaume !!!! :-D 
20/05/2020,23:25:00,37114,1234,,just the four of us
20/05/2020,21:40:00,37059,1179,,Et dire que tout aurait pu s'arrêter là...
21/05/2020,06:36:00,37188,22,,Ma-trouille des aurores dit bonjour !!!!
21/05/2020,11:13:00,37369,203,,merci aurélien !!
21/05/2020,19:55:00,37954,788,,<3
22/05/2020,07:40:00,38194,42,,Bonjourrrrr
21/05/2020,20:11:00,37974,808,,Totem du soir bonsoir (dédé pour Pierre)
22/05/2020,20:02:00,39059,907,,Petit cheminot où es-tu ? Petit cheminot m'entends-tu ? Petit cheminot regarde-mouaaaa... je pense à touaaaa... la la la la la tchaf tchaf
23/05/2020,06:54:00,39288,26,,Demain 7h on viens te dire bonjour ;)
23/05/2020,12:34:00,39558,296,,toutes ces coïncidences...
23/05/2020,18:01:00,39880,618,,"alors, 40 000 ce soir ou demain matin ??? mystère !!"
23/05/2020,19:10:00,39965,703,,merci nanée !!
23/05/2020,19:56:00,40017,755,,oups...
24/05/2020,06:40:00,40206,23,,🌇🌆🌃🚴‍♀️🚴‍♂️
24/05/2020,08:24:00,40219,36,,Tout ira bien à vélo !
24/05/2020,12:04:00,40399,216,,les 3000km du vélo d'aurore !!!
24/05/2020,21:47:00,40867,684,,PUTAIN D'AUTOCOLLANT (JE SUIS PAS EN COLÈRE J'AI JUSTE OUBLIE D'ENLEVER LE VERROUILLAGE MAJUSCULE)
25/05/2020,12:56:00,41340,404,,"Whaou, il va encore y avoir du monde aujourd'hui. Record en vue ?"
25/05/2020,13:30:00,41389,453,,merci Sophie L !
25/05/2020,06:28:00,40953,17,,"A totaym a day keep the doctor away (variante de ""Un totem le lundi matin et la semaine se passera bien"")"
25/05/2020,18:56:00,41882,946,,magic clem aux platines 😎️
25/05/2020,21:09:00,42043,1107,,m'aideras tu à obtenir les données de tes petits frères ?
26/05/2020,05:55:00,42153,14,,Première visite pour le vélo de monsieur ;)
26/05/2020,17:53:00,43044,905,,Et oui des fois je prends le temps de rentrer les datas 😊
26/05/2020,21:57:00,43427,1288,,"Pendant que certains boivent des bières, Totem bouffe du velos !"
27/05/2020,12:10:00,43900,378,,merci Nico !
27/05/2020,21:04:00,44741,1219,,un bon petit mercredi bien achalandé
28/05/2020,07:22:00,44906,40,,
28/05/2020,09:16:00,45108,242,,merci Pierre !
28/05/2020,08:32:00,45011,145,,merci Clémence !
27/05/2020,12:30:00,44103,581,,photo Toto
28/05/2020,20:32:00,46185,1319,,Youna t'es la meilleure !
28/05/2020,20:54:00,46220,1354,,Quoi de plus beau que les dernières lueurs du jour illuminant Totem ?
28/05/2020,23:56:00,46354,1488,,sans rancune aucune
28/05/2020,16:35:00,45634,768,,nouveau style surexposé
28/05/2020,14:39:00,45477,611,,merci Barbara !
29/05/2020,17:01:00,47250,895,,quel suspense !!!
29/05/2020,19:33:00,47538,1183,,merci Aurore !
30/05/2020,11:42:00,48081,281,,aaaaaaaaaahhh mon totem
30/05/2020,10:57:00,48028,228,,:garde_britannique_homme:
30/05/2020,15:45:00,48360,560,,Merci Lucie B !
30/05/2020,16:47:00,48454,654,,aurorologie tardive :-) 
30/05/2020,17:35:00,48520,720,,
30/05/2020,17:39:00,48522,722,,Je crois je me suis trompé dans la saisie juste avant:)
30/05/2020,18:41:00,48613,813,,"Vivement l'heure de pointe du samedi soir, à quelle heure va-t-on dépasser les mille ?"
31/05/2020,12:18:00,49198,288,,retour de sunrise ride - bravo Nanée pour cette première sortie de >40km :muscle:
31/05/2020,17:43:00,49465,555,,Merci Lucie B. !
31/05/2020,21:09:00,49684,774,,
01/06/2020,07:05:00,49810,44,,
01/06/2020,08:16:00,49826,60,,Merci Fred !
01/06/2020,12:35:00,50000,234,,"Quand il s'agit d'assurer pour attraper les 50 000, il faut bien deux Fred ; c'est plus sûr, et ça marche !!!"
01/06/2020,13:34:00,50033,267,,Des deux couillons seul le plus couillon est capable d'avoir les deux chiffres bien visibles
02/06/2020,13:01:00,51145,539,,Baptême totem pour Sophia ! 
02/06/2020,12:55:00,51139,533,,saisie YH pour NLM
02/06/2020,18:26:00,51743,1137,,
02/06/2020,22:45:00,52163,1557,,"quand le prez n'a plus de batterie, il dicte au vice-prez qui fait secrétairz"
03/06/2020,06:56:00,52307,94,,Coucou Totem !!!! Bon record à toi :)
03/06/2020,10:02:00,52577,364,,"Toto, je ne veux pas de commentaire sur mes horaires de boulot... ;-)"
02/06/2020,19:44:00,51945,1339,,avec toujours 35% des cyclistes qui passent à côté
02/06/2020,19:13:00,51871,1265,,Même à 19h13 il fait encore trop chaud...
03/06/2020,20:24:00,53613,1400,,
03/06/2020,21:23:00,53661,1448,,
04/06/2020,12:02:00,54016,290,,il pleut !!!
04/06/2020,18:37:00,54570,844,,"les 4 chiffres bien visibles, la spéciale de Fred !"
04/06/2020,18:57:00,54599,873,,"là on est censé écrire un truc drôle ou inspirant, non ?"
04/06/2020,15:09:00,54216,490,,merciiiiiiiiiii grazieeeee
05/06/2020,16:35:00,55729,800,,
05/06/2020,19:37:00,56129,1200,,Merci aurélien !
06/06/2020,07:16:00,56516,122,,122!!!? Je crois que c'est Record matinal et surtout pour un samedi!! 💪
06/06/2020,13:14:00,56840,446,,
06/06/2020,15:43:00,57006,612,,57000
06/06/2020,16:49:00,57110,716,,la plus belle qualitay c'ay de partageay
07/06/2020,07:33:00,57638,42,,vive l'aurorologie !
07/06/2020,16:08:00,57918,322,,
07/06/2020,18:23:00,58050,454,,"Montpellier à vélo, on dépasse les autos... "
08/06/2020,16:20:00,59176,862,,Pas de NoDataMonday !!! Merci Rachel
08/06/2020,17:37:00,59329,1015,,poussinette 🤣️🤣️🤣️
08/06/2020,19:57:00,59648,1334,,ah vous vous êtes croisay ?
08/06/2020,19:38:00,59614,1300,,
08/06/2020,19:24:00,59593,1279,,
08/06/2020,19:03:00,59538,1224,,
09/06/2020,06:40:00,59900,61,,On va pour le 60000 !!
09/06/2020,15:43:00,60607,768,,en attendant d'avoir le devinator et les abaques...
09/06/2020,17:10:00,60760,921,,
09/06/2020,17:26:00,60797,958,,
09/06/2020,17:36:00,60839,1000,,Barbara pour Clémence 🤗
09/06/2020,05:25:00,59890,51,,pierrot le lève-tôt !
09/06/2020,10:47:00,60254,415,,
10/06/2020,06:49:00,61342,44,,
10/06/2020,08:05:00,61418,120,,
10/06/2020,11:22:00,61715,417,,c'est embêtant ces chiffres qui changent tout le temps...
10/06/2020,11:22:00,61715,417,,saisie automatique aurore corrigée ensuite
10/06/2020,20:26:00,62686,1388,,:)
10/06/2020,21:02:00,62739,1441,,et le 1442ème très peu de temps après :-) 
10/06/2020,22:12:00,62795,1497,,"Nanée, reine de la patience, recordman de la résistance à la tentation. Chapeau."
11/06/2020,07:45:00,62978,109,,Bonjouuuurrrrr
11/06/2020,19:40:00,64173,1304,,<3
11/06/2020,18:20:00,64004,1135,,"""Méfies-toi du cochon sur le totem"" (proverbe chinois)"
12/06/2020,13:45:00,64632,281,,
12/06/2020,13:29:00,64623,272,,retour de réunion à 3M :-) 
12/06/2020,16:11:00,64747,396,,merci aurore !
12/06/2020,17:48:00,64846,495,,Ciaoo
13/06/2020,10:32:00,65366,163,,
13/06/2020,11:30:00,65410,207,,"Cheri je vais juste faire un petit tour...
:sunglasses::joy:
Totadrogay"
13/06/2020,18:40:00,65859,656,,Quelqu'un.e doit bien rester ae garde du totaym pendant que les autres sauvent Castelnau 😂😂
10/06/2020,23:53:00,62867,1569,,
13/06/2020,18:48:00,65871,668,,Magnifique ciel !
14/06/2020,06:08:00,66301,111,,Wow !!!!
14/06/2020,09:15:00,66355,165,,
14/06/2020,12:08:00,66541,351,,Aurélien 
14/06/2020,12:08:00,66541,351,,Aurélien (2eme attempt)
14/06/2020,14:17:00,66668,478,,Fred et pelouque
14/06/2020,14:16:00,66666,476,,"v'hell au cité , le club de l'enfer"
15/06/2020,06:51:00,67209,44,,
15/06/2020,21:08:00,68609,1444,,😘 https://twitter.com/aurorologue/status/1272608054169624576?s=19
15/06/2020,21:41:00,68668,1503,,Record!!!???
15/06/2020,20:35:00,68561,1396,,
15/06/2020,22:20:00,68700,1535,,
16/06/2020,10:11:00,69239,442,,Pierre's
16/06/2020,18:09:00,70158,1361,,
16/06/2020,15:39:00,69834,1037,,
16/06/2020,19:00:00,70296,1499,,
16/06/2020,19:25:00,70361,1564,,
